EconomicEfficiency,EffectivenessScore,EquipmentAdvantage,KillAssistRatio,StealthKillsRatio,KDA
0.0,0,-3180.0,0.0,0.0,0.0
0.0,0,-900.0,0.0,0.0,0.0
0.0008508827908955541,8,3600.0,4.0,0.5,4.0
0.0,0,-900.0,0.0,0.0,0.0
0.0,0,-1060.0,0.0,0.0,0.0
0.0,0,-1060.0,0.0,0.0,0.0
0.0,0,4240.0,0.0,0.0,0.0
0.0,0,-1060.0,0.0,0.0,0.0
0.0,0,-1060.0,0.0,0.0,0.0
0.01990049751243781,8,-840.0,4.0,0.5,4.0
0.0,0,3360.0,0.0,0.0,0.0
0.0,0,-840.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,2760.0,0.0,0.0,0.0
0.0,0,2460.0,0.0,0.0,0.0
0.0,0,-1740.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,2520.0,0.0,0.0,0.0
0.0,0,2520.0,0.0,0.0,0.0
0.0,0,-1680.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,2560.0,0.0,0.0,0.0
0.0,0,2560.0,0.0,0.0,0.0
0.0,0,-1640.0,0.0,0.0,0.0
0.0,0,-1840.0,0.0,0.0,0.0
0.0,0,40.0,0.0,0.0,0.0
0.0,0,40.0,0.0,0.0,0.0
0.0,0,40.0,0.0,0.0,0.0
0.0,0,40.0,0.0,0.0,0.0
0.0,0,-160.0,0.0,0.0,0.0
0.0,0,2320.0,0.0,0.0,0.0
0.0,0,2320.0,0.0,0.0,0.0
0.0,0,-1880.0,0.0,0.0,0.0
0.0,0,-880.0,0.0,0.0,0.0
0.0,0,-200.0,0.0,0.0,0.0
0.0,0,-200.0,0.0,0.0,0.0
0.0,0,-200.0,0.0,0.0,0.0
0.0,0,-200.0,0.0,0.0,0.0
0.0008326394671107411,2,800.0,1.0,1.0,1.0
0.0,0,2320.0,0.0,0.0,0.0
0.0,0,2320.0,0.0,0.0,0.0
0.0,0,-1880.0,0.0,0.0,0.0
0.0,0,-880.0,0.0,0.0,0.0
0.0,0,-1180.0,0.0,0.0,0.0
0.0,0,3720.0,0.0,0.0,0.0
0.0,0,-1180.0,0.0,0.0,0.0
0.0,0,-1180.0,0.0,0.0,0.0
0.0008326394671107411,2,-180.0,1.0,1.0,1.0
0.0,0,1540.0,0.0,0.0,0.0
0.0,0,1540.0,0.0,0.0,0.0
0.0,0,-2660.0,0.0,0.0,0.0
0.0,0,2240.0,0.0,0.0,0.0
0.0,0,-1960.0,0.0,0.0,0.0
0.00019603999215840032,2,2940.0,1.0,0.0,1.0
0.0,0,-1960.0,0.0,0.0,0.0
0.0,0,-1960.0,0.0,0.0,0.0
0.0,0,2940.0,0.0,0.0,0.0
0.0,0,2390.0,0.0,0.0,0.0
0.0,0,2390.0,0.0,0.0,0.0
0.0,0,-1810.0,0.0,0.0,0.0
0.0,0,-1810.0,0.0,0.0,0.0
0.0,0,-1160.0,0.0,0.0,0.0
0.0,0,-260.0,0.0,0.0,0.0
0.0011750881316098707,2,390.0,1.0,0.0,1.0
0.0,0,-260.0,0.0,0.0,0.0
0.0,0,-260.0,0.0,0.0,0.0
0.0,0,390.0,0.0,0.0,0.0
0.0,0,2390.0,0.0,0.0,0.0
0.0,0,2390.0,0.0,0.0,0.0
0.0,0,-1810.0,0.0,0.0,0.0
0.0,0,-1810.0,0.0,0.0,0.0
0.0,0,-1160.0,0.0,0.0,0.0
0.0,0,-870.0,0.0,0.0,0.0
0.0002563445270443476,2,2830.0,1.0,0.0,1.0
0.0,0,-870.0,0.0,0.0,0.0
0.0,0,-870.0,0.0,0.0,0.0
0.0,0,-220.0,0.0,0.0,0.0
0.0,0,2390.0,0.0,0.0,0.0
0.0,0,2390.0,0.0,0.0,0.0
0.0,0,-1810.0,0.0,0.0,0.0
0.0,0,-1810.0,0.0,0.0,0.0
0.0,0,-1160.0,0.0,0.0,0.0
0.0,0,-1030.0,0.0,0.0,0.0
0.00021272069772388852,2,3470.0,1.0,0.0,1.0
0.0,0,-1030.0,0.0,0.0,0.0
0.0,0,-1030.0,0.0,0.0,0.0
0.0,0,-380.0,0.0,0.0,0.0
0.0,0,2390.0,0.0,0.0,0.0
0.0,0,2390.0,0.0,0.0,0.0
0.0,0,-1810.0,0.0,0.0,0.0
0.0,0,-1810.0,0.0,0.0,0.0
0.0,0,-1160.0,0.0,0.0,0.0
0.004975124378109453,2,-1030.0,1.0,1.0,1.0
0.0,0,3470.0,0.0,0.0,0.0
0.0,0,-1030.0,0.0,0.0,0.0
0.0,0,-1030.0,0.0,0.0,0.0
0.0,0,-380.0,0.0,0.0,0.0
0.0,0,2390.0,0.0,0.0,0.0
0.0,0,2390.0,0.0,0.0,0.0
0.0,0,-1810.0,0.0,0.0,0.0
0.0,0,-1810.0,0.0,0.0,0.0
0.0,0,-1160.0,0.0,0.0,0.0
0.0,0,2130.0,0.0,0.0,0.0
0.00021272069772388852,2,2730.0,1.0,1.0,1.0
0.0,0,-1770.0,0.0,0.0,0.0
0.0,0,-1120.0,0.0,0.0,0.0
0.001998001998001998,4,120.0,2.0,0.0,2.0
0.0,0,120.0,0.0,0.0,0.0
0.0011750881316098707,2,-30.0,1.0,0.0,0.5
0.0,0,-30.0,0.0,0.0,0.0
0.0,1,-180.0,0.0,0.0,0.5
0.0,0,80.0,0.0,0.0,0.0
0.0014265335235378032,2,-120.0,1.0,0.0,0.5
0.0012484394506866417,2,-20.0,1.0,0.0,0.5
0.0035252643948296123,6,30.0,3.0,0.3333333333333333,3.0
